ID	Parent1	Parent2	Sex	pat_hed_xcd	pat_hed_ycd	pat_hed_scv	pat_hed_sch	pat_ctr_xcd	pat_ctr_ycd	pat_ctr_scv	pat_ctr_sch	pat_tal_xcd	pat_tal_ycd	pat_tal_scv	pat_tal_sch	pat_scl_thr	col_hed_lmv	col_hed_rgv	col_hed_byv	col_ctr_lmv	col_ctr_rgv	col_ctr_byv	col_tal_lmv	col_tal_rgv	col_tal_byv	col_mac_lmv	col_mac_rgv	col_mac_byv	col_shd_lmv	col_shd_rgv	col_shd_byv	grd_hed_rad	grd_hed_ycd	grd_hed_sig	grd_hed_val	grd_ctr_sft	grd_ctr_thr	grd_ctr_blr	grd_ctr_val	grd_tal_rad	grd_tal_ycd	grd_tal_sig	grd_tal_val	csd_grd_sig	csd_grd_thr	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	spk_hed_sig	spk_hed_lvl	spk_tal_sig	spk_tal_lvl
Gen31_Mut0_ID0	Gen27_Mut0_ID12	Gen28_Mut0_ID8	-	0.3557	0.5350	0.8140	0.6043	0.8993	0.0623	0.3903	0.3448	0.6103	0.0216	0.5488	0.1554	0.0991	0.4733	0.3902	0.1194	0.5363	0.4566	0.2055	0.1560	0.6547	0.0552	0.3123	0.4178	0.3732	0.2748	0.3521	0.5704	0.1980	0.6949	0.4198	0.5353	0.2997	1	0.1694	0.5776	0.2454	0.3705	0.6286	0.8836	0.9622	0.2431	0.1731	0.2928	0.1498	0.5369	0.2220	0.7496	0.5248	0.7000	0.7582	0.2934
Gen31_Mut0_ID1	Gen28_Mut0_ID8	Gen27_Mut0_ID12	-	0.3397	0.5887	0.5550	0.7064	0.9242	0.0397	0.3336	0.9489	0.3513	0.0943	0.7751	0.1664	0.0800	0.4030	0.3599	0.3902	0.5309	0.3850	0.3294	0.1158	0.3177	0.3712	0.3348	0.3994	0.3980	0.2801	0.7087	0.3507	0.2623	0.5120	0.4761	0.3412	0.0152	0.9465	0.0404	0.2484	0.0607	0.6388	0.6216	0.8589	0.9609	0.5968	0.6060	0.1957	0.3790	0.4038	0.4918	0.8619	0.6048	0.2844	0.7548	0.2322
Gen31_Mut0_ID2	Gen24_Mut0_ID9	Gen30_Mut0_ID10	-	0.3400	0.5897	0.8061	0.7636	0.9538	0.4700	0.4114	0.3448	0.5352	0.0971	0.6223	0.1672	0.0160	0.4749	0.3417	0.3902	0.5682	0.4566	0.3501	0.0791	0.3377	0.0902	0.2879	0.4034	0.3191	0.2910	0.6992	0.4451	0.2710	0.6949	0.4930	0.1143	0.0316	0.9816	0.1694	0.1976	0.2801	0.6355	0.4756	0.2516	0.9699	0.5968	0.5272	0.2874	0.2221	0.4475	0.1944	0.9426	0.6144	0.6217	0.7640	0.2934
Gen31_Mut0_ID3	Gen30_Mut0_ID10	Gen24_Mut0_ID9	-	0.3449	0.5307	0.8199	0.7393	0.9291	0	0.3101	0.5852	0.5074	0.1694	0.6356	0.2031	0.0653	0.4172	0.3595	0.1194	0.6071	0.5200	0.3199	0.1571	0.3373	0.3640	0.3409	0.4132	0.3994	0.2801	0.6643	0.4465	0.1980	0.6585	0.3663	0.3297	0.0232	0.9968	0.6170	0.6284	0.0067	0.6990	0.7689	0.8836	0.9625	0.1857	0.1052	0.4522	0.5469	0.6342	0.5479	0.6689	0.5737	0.2497	0.7547	0.2034
Gen31_Mut0_ID4	Gen30_Mut0_ID19	Gen30_Mut0_ID14	-	0.3445	0.6391	0.5188	0.6458	0.7413	0.0085	0.5229	0.9538	0.4109	0.0675	0.5474	0.1661	0.0951	0.4733	0.1981	0.3902	0.5309	0.3799	0.2528	0.1475	0.3177	0.3712	0.4115	0.3933	0.3440	0.2575	0.6970	0.2631	0.2645	0.5120	0.4651	0.1757	0.2997	1	0.0404	0.5990	0.0115	0.6355	0.7378	0.8836	0.8974	0.2560	0.0933	0.1211	0.5553	0.5124	0.2241	0.9217	0.5201	0.6984	0.7596	0.3338
Gen31_Mut0_ID5	Gen30_Mut0_ID14	Gen30_Mut0_ID19	-	0.3524	0.5649	0.5550	0.5567	0.9035	0.3562	0.3173	1	0.5480	0.0317	0.5886	0.1584	0.0437	0.3826	0.4229	0.1194	0.4589	0.4511	0.3562	0.1571	0	0.0552	0.4237	0.4239	0.3771	0.2748	0	0.3672	0.1576	0.6934	0.3671	0.5854	0	1	0.1694	0.6662	0.7272	0.3738	0.6056	0.7961	0.7980	0.5882	0.5957	0.5700	0.5634	0.5692	0.4036	0.8619	0.5714	0.2627	0.8152	0.1698
Gen31_Mut0_ID6	Gen30_Mut0_ID17	Gen28_Mut0_ID2	-	0.2647	0.6140	0.8161	0.6458	0.9068	0.4700	0.3470	0.9818	0.5626	0.0283	0.5976	0.2712	0.0232	0.4708	0.3413	0.3902	0.5322	0.5160	0.3579	0.0312	0.5542	0.0552	0.3597	0.4218	0.3994	0.3587	0.7770	0.1495	0.2710	0.6546	0.4655	0.4986	0.0973	0.9816	0.1612	0.5417	0.2776	0.7412	0.6754	0.7195	0.9172	0.6735	0.1845	0.4522	0.5634	0.4511	0.8380	0.8130	0.5888	0.4060	0.8579	0.2934
Gen31_Mut0_ID7	Gen28_Mut0_ID2	Gen30_Mut0_ID17	-	0.2647	0.5290	0.8091	0.5575	0.9012	0.4727	0.5002	0.9597	0.4967	0.0544	0.6022	0.2712	0.3805	0.3854	0.3542	0.2692	0.5400	0.6214	0.3522	0.0555	0.5656	0.0552	0.2504	0.4415	0.3750	0.2526	0.6264	0.2735	0.2964	0.7068	0.4605	0.2509	0.9117	0.1612	0.5360	0.6111	0.6436	0.5654	0.6352	0.8804	0.9620	0.6735	0.4987	0.1985	0.5469	0.5351	0.8380	0.8182	0.7278	0.2032	0.8558	0.1811
Gen31_Mut0_ID8	Gen26_Mut0_ID15	Gen30_Mut0_ID3	-	0.3381	0.5756	0.8011	0.5621	0.9553	0.4845	0.4114	0.9489	0.5507	0.0943	0.6153	0.1112	0.3516	0.4614	0.3545	0.3902	0.6848	0.3505	0.3788	0.0555	0.6497	0.3712	0.3838	0.4178	0.3800	0.2547	0.7548	0.3223	0.3778	0.7126	0.5454	0.3450	0.0167	1	0.0906	0.2484	0.5967	0.6307	0.6603	0.8923	0.9546	0.5968	0.6060	0.1590	0.1498	0.3477	0.4639	0.8386	0.6097	0.2497	0.9733	0.1757
Gen31_Mut0_ID9	Gen30_Mut0_ID3	Gen26_Mut0_ID15	-	0.2683	0.6492	0.8163	0.5719	0.8744	0.0276	0.2733	0.7495	0.5480	0.0124	0.5934	0.5906	0.0483	0.4063	0.2790	0.3902	0.5804	0.5040	0.2621	0.0867	0.3474	0.3275	0.3495	0.4032	0.3980	0.2858	0.6821	0.2471	0.0444	0.6934	0.3235	0.1757	0.0041	0.9968	0.1694	0.5789	0	0.7860	0.7638	0.7874	0.9624	0.0060	0.0797	0.2928	0.4797	0.3411	0.4082	0.9877	0.5665	0.6226	0.7547	0.3988
